Méthode de diffusion,Modèle / Scénario,Nb Images,AUC,Précision,F1,EER,P(Fake) Moyenne,P(Fake) Min,P(Fake) Max
DiT,Meso4,144,,1.0,1.0,,0.7071820692055755,0.6136691570281982,0.8657957315444946
DiT,XceptionNet,144,,0.2708333333333333,0.4262295081967213,,0.36133634923155317,0.0040999157354235,0.9790309071540833
DiT,UCF,144,,0.125,0.2222222222222222,,0.15661425416086178,0.0015431349165737,0.9962257146835328
DiT,F3Net,144,,0.125,0.2222222222222222,,0.19422461644474728,0.0005091486964374,0.9968397617340088
DiT,Scén. A,144,,0.1875,0.3157894736842105,,0.35483932226068443,0.16987835743930188,0.8651863038539886
DiT,Scén. B,144,,0.18055555555555555,0.3058823529411765,,0.33067525699736866,0.1394632861398101,0.8756666946268205
DiT,Scén. C,144,,0.3333333333333333,0.5,,0.4356396717749446,0.19344622834416347,0.9290480741043565
SiT,Meso4,104,,1.0,1.0,,0.7108742560331638,0.6053513288497925,0.8983365893363953
SiT,XceptionNet,104,,0.38461538461538464,0.5555555555555556,,0.45965237364781875,0.0105962036177515,0.9979965090751648
SiT,UCF,104,,0.27884615384615385,0.43609022556390975,,0.3014298801583489,0.0023496667854487,0.9995772242546082
SiT,F3Net,104,,0.25961538461538464,0.4122137404580153,,0.29975199532390645,0.0014309359248727,0.9930954575538636
SiT,Scén. A,104,,0.3173076923076923,0.48175182481751827,,0.4429271262908095,0.17003461410058654,0.9426683038473129
SiT,Scén. B,104,,0.3076923076923077,0.47058823529411764,,0.4245072749194688,0.13979168302994224,0.9490376283296884
SiT,Scén. C,104,,0.4230769230769231,0.5945945945945946,,0.5252053152434943,0.18469583238955112,0.9435791846850716
MidJourney,Meso4,639,,0.9984350547730829,0.9992169146436961,,0.7077032068339125,0.4539750218391418,0.951978087425232
MidJourney,XceptionNet,639,,0.4475743348982786,0.6183783783783784,,0.512144532742588,0.0454155877232551,0.996987283229828
MidJourney,UCF,639,,0.38028169014084506,0.5510204081632653,,0.3669219848693309,0.00265570031479,0.9993693232536316
MidJourney,F3Net,639,,0.5258215962441315,0.6892307692307692,,0.5033275977085012,0.0002042381820501,0.9997615218162536
MidJourney,Scén. A,639,,0.5320813771517997,0.6945863125638406,,0.5225243305385832,0.15743089484749362,0.9774650484323502
MidJourney,Scén. B,639,,0.514866979655712,0.6797520661157025,,0.50987574562864,0.1291719831924677,0.9816272451371899
MidJourney,Scén. C,639,,0.6259780907668232,0.7699711260827719,,0.6175506758230349,0.19571312782356054,0.9497642782608812
ddim,Meso4,520,,1.0,1.0,,0.7252329586790158,0.5005704164505005,0.9204309582710266
ddim,XceptionNet,520,,0.5711538461538461,0.7270501835985312,,0.6017927963286638,0.0069880313239991,0.9999500513076782
ddim,UCF,520,,0.5826923076923077,0.7363304981773997,,0.5869129471937553,0.0034124790690839,0.999714195728302
ddim,F3Net,520,,0.375,0.5454545454545454,,0.4122614348197553,0.0013450799742713,0.9999518394470216
ddim,Scén. A,520,,0.573076923076923,0.7286063569682152,,0.5815500342552975,0.14402377276564945,0.9692350775003433
ddim,Scén. B,520,,0.5653846153846154,0.7223587223587223,,0.5716308056601945,0.11586865222658066,0.9741610648493885
ddim,Scén. C,520,,0.676923076923077,0.8073394495412844,,0.6588994399648731,0.19224631771270972,0.9575629686675502
